t,s0,product,p,s,c,log_rel_share
1,0.31199999999999994,1,4.249233339194471,0.32,1.25604609433337,0.02531780798429
2,0.34800000000000003,1,3.754157772852511,0.366,0.8202872918454547,0.050430853626891904
3,0.38999999999999996,1,3.711791949986102,0.304,0.8641055332543864,-0.24911903771747027
4,0.326,1,3.7233606356868454,0.376,0.6504124199697976,0.14269176202318687
5,0.396,1,4.287426073422623,0.386,1.0587483738355083,-0.025576841789649737
6,0.3439999999999999,1,4.2248220436215576,0.328,1.2018103454343407,-0.04762804898925436
7,0.36399999999999993,1,4.125046649835966,0.326,1.1435728527658287,-0.11025648627003284
8,0.40399999999999997,1,3.8127077930328053,0.288,0.9338885523405542,-0.3384543978252042
9,0.37399999999999994,1,4.045155768267369,0.33,0.9286798326635864,-0.1251631429540058
10,0.43800000000000006,1,4.31155211571757,0.348,1.2167285947733286,-0.230016430601972
11,0.26400000000000007,1,4.047509228157807,0.42,0.7138236433992513,0.4643056081310975
12,0.394,1,4.268462053951701,0.388,1.0636116224433814,-0.015345569674660421
13,0.36399999999999993,1,3.9835578503076654,0.308,0.9916174631534563,-0.16705408466316607
14,0.36400000000000005,1,3.9259515683705946,0.35,0.7058214913052797,-0.0392207131532815
15,0.366,1,3.6542069715368912,0.262,0.9325069043708646,-0.33428882964026935
16,0.396,1,4.091969329884825,0.364,1.1566027630739468,-0.08426034361773997
17,0.3,1,4.241047268721515,0.378,1.0704950310299608,0.23111172096338664
18,0.41400000000000003,1,4.243021564339008,0.368,1.0268937972007073,-0.11778303565638351
19,0.32,1,3.91110074675976,0.374,0.802074680551763,0.15593480162075968
20,0.3979999999999999,1,3.962444496096748,0.34,0.8906722410247738,-0.15750638767423034
21,0.318,1,4.565923672911621,0.384,1.3073109833613468,0.18859116980754997
22,0.35800000000000004,1,4.3520258886299255,0.358,1.2657746670536807,-1.1102230246251565e-16
23,0.312,1,4.004380504885377,0.35,0.9177752449484584,0.11492996667397702
24,0.33799999999999997,1,4.3576533702827955,0.398,0.8180728191048677,0.16340610980141912
25,0.3519999999999999,1,3.8110301900598764,0.32,0.7661067830053001,-0.09531017980432464
